"SubscriptionItemID","SubscriptionID","SubscriptionItemType","SubscriptionItemName","ProductID","VariationID","ProductSKU","Quantity","LineSubtotal","LineSubtotalTax","LineTotal","LineTotalTax","TaxClass","LineTaxData"
"107507","75198","line_item","Waterkefir Original Abonnement (4x 1L)","11155","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:8:""subtotal"";a:0:{}s:5:""total"";a:0:{}}"
"98550","75219","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","27.51","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"131354","75228","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:8:""subtotal"";a:0:{}s:5:""total"";a:0:{}}"
"98596","75239","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"98625","75253","line_item","Kombucha Original Abonnement (4x 1L)","10371","0",NULL,"2","59.98","0.00","59.98","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"98829","75352","line_item","Waterkefir Original Abonnement (4x 1L)","11155","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"98965","75414","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"126334","75417","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:8:""subtotal"";a:0:{}s:5:""total"";a:0:{}}"
"99012","75438","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99052","75456","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99066","75461","line_item","Kombucha Original Abonnement (4x 1L)","10371","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99067","75461","line_item","Frisdrank Mix Abonnement 12x 250ml","46959","0",NULL,"1","24.99","0.00","24.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"101213","75476","line_item","Kombucha Original Abonnement (4x 1L)","10371","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:8:""subtotal"";a:0:{}s:5:""total"";a:0:{}}"
"99126","75487","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99130","75489","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99158","75502","line_item","Kombucha Original Abonnement (4x 1L)","10371","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99201","75521","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"110817","75563","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:8:""subtotal"";a:0:{}s:5:""total"";a:0:{}}"
"99310","75570","line_item","Kombucha Original Abonnement (4x 1L)","10371","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99314","75572","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99321","75575","line_item","Waterkefir Original Abonnement (4x 1L)","11155","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99334","75587","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99358","75599","line_item","Waterkefir Original Abonnement (4x 1L)","11155","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99366","75615","line_item","Waterkefir Original Abonnement (4x 1L)","11155","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99416","75663","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99423","75666","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99439","75675","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99501","75707","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99511","75712","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99520","75716","line_item","Waterkefir Original Abonnement (4x 1L)","11155","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99555","75732","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99564","75736","line_item","Waterkefir Original Abonnement (4x 1L)","11155","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99602","75758","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99610","75762","line_item","Waterkefir Original Abonnement (4x 1L)","11155","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99628","75769","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
