"SubscriptionShippingID","SubscriptionID","ShippingMethodName","ShippingCost","ShippingTax"
"103896","46685","Verzendkosten","3.99","0.00"
"54378","46696","GRATIS","0.00","0.00"
"54390","46700","GRATIS","0.00","0.00"
"54443","46727","GRATIS","0.00","0.00"
"54587","46786","GRATIS","0.00","0.00"
"54677","46822","GRATIS","0.00","0.00"
"103898","46875","Verzendkosten","3.99","0.00"
"103899","46893","Verzendkosten","3.99","0.00"
"54886","46908","GRATIS","0.00","0.00"
"103900","46961","Verzendkosten","3.99","0.00"
"55112","47028","GRATIS","0.00","0.00"
"55451","47196","GRATIS","0.00","0.00"
"55466","47203","GRATIS","0.00","0.00"
"55771","47359","GRATIS","0.00","0.00"
"55777","47362","GRATIS","0.00","0.00"
"103901","47364","Verzendkosten","3.99","0.00"
"103902","47377","Verzendkosten","3.99","0.00"
"103903","47419","Verzendkosten","3.99","0.00"
"56050","47557","GRATIS","0.00","0.00"
"56056","47559","GRATIS","0.00","0.00"
"56061","47561","GRATIS","0.00","0.00"
"103904","47605","Verzendkosten","3.99","0.00"
"103905","47678","Verzendkosten","3.99","0.00"
"56322","47682","GRATIS","0.00","0.00"
"56349","47693","GRATIS","0.00","0.00"
"103906","47745","Verzendkosten","3.99","0.00"
"56469","47751","GRATIS","0.00","0.00"
"56482","47756","GRATIS","0.00","0.00"
"103907","47761","Verzendkosten","8.99","0.00"
"56577","47805","GRATIS","0.00","0.00"
"103908","47825","Verzendkosten","3.99","0.00"
"56715","47896","GRATIS","0.00","0.00"
"103909","47949","Verzendkosten","3.99","0.00"
"56775","47951","GRATIS","0.00","0.00"
"103910","47955","Verzendkosten","3.99","0.00"
"103911","47976","Verzendkosten","3.99","0.00"
"103912","47993","Verzendkosten","3.99","0.00"
"103913","48008","Verzendkosten","3.99","0.00"
"56907","48014","GRATIS","0.00","0.00"
"103914","48021","Verzendkosten","3.99","0.00"
"57195","48282","GRATIS","0.00","0.00"
"103915","48287","Verzendkosten","3.99","0.00"
"103916","48295","Verzendkosten","3.99","0.00"
"57262","48318","GRATIS","0.00","0.00"
"57360","48358","GRATIS","0.00","0.00"
"103917","48378","Verzendkosten","3.99","0.00"
"57578","48509","GRATIS","0.00","0.00"
"57656","48547","GRATIS","0.00","0.00"
"103918","48672","Verzendkosten","3.99","0.00"
"57957","48686","GRATIS","0.00","0.00"
"57961","48688","GRATIS","0.00","0.00"
"103919","48694","Verzendkosten","3.99","0.00"
"57979","48696","GRATIS","0.00","0.00"
"58000","48705","GRATIS","0.00","0.00"
"58011","48710","GRATIS","0.00","0.00"
"58021","48717","GRATIS","0.00","0.00"
"58067","48737","GRATIS","0.00","0.00"
"103920","48738","Verzendkosten","3.99","0.00"
"58100","48746","GRATIS","0.00","0.00"
"58104","48748","GRATIS","0.00","0.00"
"58131","48759","GRATIS","0.00","0.00"
"58162","48777","GRATIS","0.00","0.00"
"58186","48788","GRATIS","0.00","0.00"
"58196","48792","GRATIS","0.00","0.00"
"58267","48821","GRATIS","0.00","0.00"
"58281","48828","GRATIS","0.00","0.00"
"103922","48830","Verzendkosten","3.99","0.00"
